base	A	LL	Q	length	toothMiss_ok
1,5,7,9,11	18	1	37	0.027027	True
1,5,7,9,12	15	1	50	0.020000	True
1,5,7,10,11	9	1	29	0.034483	True
1,5,7,10,12	24	1	54	0.018519	True
1,5,7,11,12	12	1	40	0.025000	True
1,5,8,9,10	8	1	50	0.020000	True
1,5,8,9,11	15	1	50	0.020000	True
1,5,8,9,12	15	1	50	0.020000	True
1,5,8,10,11	9	1	29	0.034483	True
1,5,8,10,12	24	1	54	0.018519	True
1,5,8,11,12	12	1	40	0.025000	True
1,5,9,10,11	10	1	63	0.015873	True
1,5,9,10,12	21	1	68	0.014706	True
1,5,9,11,12	15	1	50	0.020000	True
1,5,10,11,12	6	1	55	0.018182	True
1,6,7,8,9	18	1	46	0.021739	True
1,6,7,8,10	24	1	54	0.018519	True
1,6,7,8,11	18	1	46	0.021739	True
1,6,7,8,12	24	1	54	0.018519	True
1,6,7,9,10	12	1	48	0.020833	True
1,6,7,9,11	18	1	46	0.021739	True
1,6,7,9,12	15	1	50	0.020000	True
1,6,7,10,11	6	1	55	0.018182	True
1,6,7,10,12	24	1	54	0.018519	True
1,6,7,11,12	5	1	47	0.021277	True
1,6,8,9,10	39	1	86	0.011628	True
1,6,8,9,11	18	1	46	0.021739	True
1,6,8,9,12	15	1	50	0.020000	True
1,6,8,10,11	29	1	94	0.010638	True
1,6,8,10,12	24	1	54	0.018519	True
1,6,8,11,12	15	1	50	0.020000	True
1,6,9,10,11	17	1	68	0.014706	True
1,6,9,10,12	18	1	70	0.014286	True
1,6,9,11,12	15	1	50	0.020000	True
1,6,10,11,12	6	1	55	0.018182	True
1,7,8,9,10	8	1	50	0.020000	True
1,7,8,9,11	15	1	50	0.020000	True
1,7,8,9,12	15	1	50	0.020000	True
1,7,8,10,11	9	1	29	0.034483	True
1,7,8,10,12	24	1	54	0.018519	True
1,7,8,11,12	12	1	40	0.025000	True
1,7,9,10,11	10	1	63	0.015873	True
1,7,9,10,12	21	1	68	0.014706	True
1,7,9,11,12	15	1	50	0.020000	True
1,7,10,11,12	6	1	55	0.018182	True
1,8,9,10,11	10	1	63	0.015873	True
1,8,9,10,12	21	1	68	0.014706	True
1,8,9,11,12	15	1	50	0.020000	True
1,8,10,11,12	21	1	68	0.014706	True
1,9,10,11,12	21	1	68	0.014706	True
2,3,4,5,6	5	1	47	0.021277	True
2,3,4,5,7	5	1	47	0.021277	True
2,3,4,5,8	8	1	50	0.020000	True
2,3,4,5,9	8	1	50	0.020000	True
2,3,4,5,10	8	1	50	0.020000	True
2,3,4,5,11	5	1	47	0.021277	True
2,3,4,5,12	5	1	47	0.021277	True
2,3,4,6,7	5	1	47	0.021277	True
2,3,4,6,8	18	1	46	0.021739	True
2,3,4,6,9	18	1	46	0.021739	True
2,3,4,6,10	6	1	55	0.018182	True
2,3,4,6,11	5	1	47	0.021277	True
2,3,4,6,12	5	1	47	0.021277	True
2,3,4,7,8	8	1	50	0.020000	True
2,3,4,7,9	8	1	50	0.020000	True
2,3,4,7,10	8	1	50	0.020000	True
2,3,4,7,11	5	1	47	0.021277	True
2,3,4,7,12	5	1	47	0.021277	True
2,3,4,8,9	8	1	50	0.020000	True
2,3,4,8,10	8	1	50	0.020000	True
2,3,4,8,11	18	1	46	0.021739	True
2,3,4,8,12	24	1	61	0.016393	True
2,3,4,9,10	8	1	50	0.020000	True
2,3,4,9,11	18	1	46	0.021739	True
2,3,4,9,12	24	1	61	0.016393	True
2,3,4,10,11	6	1	55	0.018182	True
2,3,4,10,12	6	1	55	0.018182	True
2,3,4,11,12	5	1	47	0.021277	True
2,3,5,6,7	5	1	47	0.021277	True
2,3,5,6,8	27	1	61	0.016393	True
2,3,5,6,9	12	1	48	0.020833	True
2,3,5,6,10	12	1	48	0.020833	True
2,3,5,6,11	5	1	47	0.021277	True
2,3,5,6,12	5	1	47	0.021277	True
2,3,5,7,8	8	1	50	0.020000	True
2,3,5,7,9	8	1	50	0.020000	True
2,3,5,7,10	8	1	50	0.020000	True
2,3,5,7,11	5	1	47	0.021277	True
2,3,5,7,12	5	1	47	0.021277	True
2,3,5,8,9	8	1	50	0.020000	True
2,3,5,8,10	8	1	50	0.020000	True
2,3,5,8,11	10	1	63	0.015873	True
2,3,5,8,12	27	1	61	0.016393	True
2,3,5,9,10	8	1	50	0.020000	True
2,3,5,9,11	10	1	63	0.015873	True
2,3,5,9,12	18	1	70	0.014286	True
2,3,5,10,11	6	1	55	0.018182	True
2,3,5,10,12	6	1	55	0.018182	True
2,3,5,11,12	5	1	47	0.021277	True
2,3,6,7,8	18	1	46	0.021739	True
2,3,6,7,9	12	1	48	0.020833	True
2,3,6,7,10	12	1	48	0.020833	True
2,3,6,7,11	5	1	47	0.021277	True
2,3,6,7,12	5	1	47	0.021277	True
2,3,6,8,9	18	1	46	0.021739	True
2,3,6,8,10	27	1	61	0.016393	True
2,3,6,8,11	18	1	46	0.021739	True
2,3,6,8,12	24	1	61	0.016393	True
2,3,6,9,10	12	1	48	0.020833	True
2,3,6,9,11	18	1	46	0.021739	True
2,3,6,9,12	24	1	61	0.016393	True
2,3,6,10,11	6	1	55	0.018182	True
2,3,6,10,12	6	1	55	0.018182	True
2,3,6,11,12	5	1	47	0.021277	True
2,3,7,8,9	8	1	50	0.020000	True
2,3,7,8,10	8	1	50	0.020000	True
2,3,7,8,11	18	1	46	0.021739	True
2,3,7,8,12	24	1	61	0.016393	True
2,3,7,9,10	8	1	50	0.020000	True
2,3,7,9,11	18	1	46	0.021739	True
2,3,7,9,12	24	1	61	0.016393	True
2,3,7,10,11	6	1	55	0.018182	True
2,3,7,10,12	6	1	55	0.018182	True
2,3,7,11,12	5	1	47	0.021277	True
2,3,8,9,10	8	1	50	0.020000	True
2,3,8,9,11	18	1	46	0.021739	True
2,3,8,9,12	24	1	61	0.016393	True
2,3,8,10,11	10	1	63	0.015873	True
2,3,8,10,12	27	1	61	0.016393	True
2,3,8,11,12	24	1	61	0.016393	True
2,3,9,10,11	10	1	63	0.015873	True
2,3,9,10,12	18	1	70	0.014286	True
2,3,9,11,12	24	1	61	0.016393	True
2,3,10,11,12	6	1	55	0.018182	True
2,4,5,6,7	5	1	47	0.021277	True
2,4,5,6,8	15	1	50	0.020000	True
2,4,5,6,9	15	1	50	0.020000	True
2,4,5,6,10	6	1	55	0.018182	True
2,4,5,6,11	5	1	47	0.021277	True
2,4,5,6,12	5	1	47	0.021277	True
2,4,5,7,8	8	1	26	0.038462	True
2,4,5,7,9	15	1	50	0.020000	True
2,4,5,7,10	9	1	29	0.034483	True
2,4,5,7,11	8	1	26	0.038462	True
2,4,5,7,12	12	1	40	0.025000	True
2,4,5,8,9	15	1	50	0.020000	True
2,4,5,8,10	9	1	29	0.034483	True
2,4,5,8,11	8	1	26	0.038462	True
2,4,5,8,12	12	1	40	0.025000	True
2,4,5,9,10	8	1	50	0.020000	True
2,4,5,9,11	15	1	50	0.020000	True
2,4,5,9,12	15	1	50	0.020000	True
2,4,5,10,11	9	1	29	0.034483	True
2,4,5,10,12	6	1	55	0.018182	True
2,4,5,11,12	12	1	40	0.025000	True
2,4,6,7,8	18	1	46	0.021739	True
2,4,6,7,9	18	1	46	0.021739	True
2,4,6,7,10	6	1	55	0.018182	True
2,4,6,7,11	5	1	47	0.021277	True
2,4,6,7,12	5	1	47	0.021277	True
2,4,6,8,9	18	1	46	0.021739	True
2,4,6,8,10	27	1	61	0.016393	True
2,4,6,8,11	18	1	46	0.021739	True
2,4,6,8,12	15	1	50	0.020000	True
2,4,6,9,10	29	1	94	0.010638	True
2,4,6,9,11	18	1	46	0.021739	True
2,4,6,9,12	15	1	50	0.020000	True
2,4,6,10,11	6	1	55	0.018182	True
2,4,6,10,12	6	1	55	0.018182	True
2,4,6,11,12	5	1	47	0.021277	True
2,4,7,8,9	15	1	50	0.020000	True
2,4,7,8,10	9	1	29	0.034483	True
2,4,7,8,11	8	1	26	0.038462	True
2,4,7,8,12	12	1	40	0.025000	True
2,4,7,9,10	8	1	50	0.020000	True
2,4,7,9,11	15	1	50	0.020000	True
2,4,7,9,12	15	1	50	0.020000	True
2,4,7,10,11	9	1	29	0.034483	True
2,4,7,10,12	6	1	55	0.018182	True
2,4,7,11,12	12	1	40	0.025000	True
2,4,8,9,10	8	1	50	0.020000	True
2,4,8,9,11	15	1	50	0.020000	True
2,4,8,9,12	15	1	50	0.020000	True
2,4,8,10,11	9	1	29	0.034483	True
2,4,8,10,12	21	1	68	0.014706	True
2,4,8,11,12	12	1	40	0.025000	True
2,4,9,10,11	10	1	63	0.015873	True
2,4,9,10,12	21	1	68	0.014706	True
2,4,9,11,12	15	1	50	0.020000	True
2,4,10,11,12	6	1	55	0.018182	True
2,5,6,7,8	15	1	50	0.020000	True
2,5,6,7,9	12	1	48	0.020833	True
2,5,6,7,10	12	1	48	0.020833	True
2,5,6,7,11	5	1	47	0.021277	True
2,5,6,7,12	5	1	47	0.021277	True
2,5,6,8,9	15	1	50	0.020000	True
2,5,6,8,10	27	1	61	0.016393	True
2,5,6,8,11	15	1	50	0.020000	True
2,5,6,8,12	15	1	50	0.020000	True
2,5,6,9,10	12	1	48	0.020833	True
2,5,6,9,11	15	1	50	0.020000	True
2,5,6,9,12	15	1	50	0.020000	True
2,5,6,10,11	6	1	55	0.018182	True
2,5,6,10,12	6	1	55	0.018182	True
2,5,6,11,12	5	1	47	0.021277	True
2,5,7,8,9	15	1	50	0.020000	True
2,5,7,8,10	9	1	29	0.034483	True
2,5,7,8,11	8	1	26	0.038462	True
2,5,7,8,12	12	1	40	0.025000	True
2,5,7,9,10	8	1	50	0.020000	True
2,5,7,9,11	15	1	50	0.020000	True
2,5,7,9,12	15	1	50	0.020000	True
2,5,7,10,11	9	1	29	0.034483	True
2,5,7,10,12	6	1	55	0.018182	True
2,5,7,11,12	12	1	40	0.025000	True
2,5,8,9,10	8	1	50	0.020000	True
2,5,8,9,11	15	1	50	0.020000	True
2,5,8,9,12	15	1	50	0.020000	True
2,5,8,10,11	9	1	29	0.034483	True
2,5,8,10,12	21	1	68	0.014706	True
2,5,8,11,12	12	1	40	0.025000	True
2,5,9,10,11	10	1	63	0.015873	True
2,5,9,10,12	21	1	68	0.014706	True
2,5,9,11,12	15	1	50	0.020000	True
2,5,10,11,12	6	1	55	0.018182	True
2,6,7,8,9	18	1	46	0.021739	True
2,6,7,8,10	27	1	61	0.016393	True
2,6,7,8,11	18	1	46	0.021739	True
2,6,7,8,12	15	1	50	0.020000	True
2,6,7,9,10	12	1	48	0.020833	True
2,6,7,9,11	18	1	46	0.021739	True
2,6,7,9,12	15	1	50	0.020000	True
2,6,7,10,11	6	1	55	0.018182	True
2,6,7,10,12	6	1	55	0.018182	True
2,6,7,11,12	5	1	47	0.021277	True
2,6,8,9,10	29	1	94	0.010638	True
2,6,8,9,11	18	1	46	0.021739	True
2,6,8,9,12	15	1	50	0.020000	True
2,6,8,10,11	29	1	94	0.010638	True
2,6,8,10,12	27	1	61	0.016393	True
2,6,8,11,12	15	1	50	0.020000	True
2,6,9,10,11	17	1	68	0.014706	True
2,6,9,10,12	18	1	70	0.014286	True
2,6,9,11,12	15	1	50	0.020000	True
2,6,10,11,12	6	1	55	0.018182	True
2,7,8,9,10	8	1	50	0.020000	True
2,7,8,9,11	15	1	50	0.020000	True
2,7,8,9,12	15	1	50	0.020000	True
2,7,8,10,11	9	1	29	0.034483	True
2,7,8,10,12	21	1	68	0.014706	True
2,7,8,11,12	12	1	40	0.025000	True
2,7,9,10,11	10	1	63	0.015873	True
2,7,9,10,12	21	1	68	0.014706	True
2,7,9,11,12	15	1	50	0.020000	True
2,7,10,11,12	6	1	55	0.018182	True
2,8,9,10,11	10	1	63	0.015873	True
2,8,9,10,12	21	1	68	0.014706	True
2,8,9,11,12	15	1	50	0.020000	True
2,8,10,11,12	21	1	68	0.014706	True
2,9,10,11,12	21	1	68	0.014706	True
3,4,5,6,7	5	1	47	0.021277	True
3,4,5,6,8	24	1	54	0.018519	True
3,4,5,6,9	39	1	86	0.011628	True
3,4,5,6,10	24	1	54	0.018519	True
3,4,5,6,11	5	1	47	0.021277	True
3,4,5,6,12	5	1	47	0.021277	True
3,4,5,7,8	8	1	50	0.020000	True
3,4,5,7,9	8	1	50	0.020000	True
3,4,5,7,10	8	1	50	0.020000	True
3,4,5,7,11	5	1	47	0.021277	True
3,4,5,7,12	5	1	47	0.021277	True
3,4,5,8,9	8	1	50	0.020000	True
3,4,5,8,10	8	1	50	0.020000	True
3,4,5,8,11	10	1	63	0.015873	True
3,4,5,8,12	24	1	54	0.018519	True
3,4,5,9,10	8	1	50	0.020000	True
3,4,5,9,11	10	1	63	0.015873	True
3,4,5,9,12	39	1	86	0.011628	True
3,4,5,10,11	6	1	55	0.018182	True
3,4,5,10,12	24	1	54	0.018519	True
3,4,5,11,12	5	1	47	0.021277	True
3,4,6,7,8	18	1	46	0.021739	True
3,4,6,7,9	18	1	46	0.021739	True
3,4,6,7,10	24	1	54	0.018519	True
3,4,6,7,11	5	1	47	0.021277	True
3,4,6,7,12	5	1	47	0.021277	True
3,4,6,8,9	18	1	46	0.021739	True
3,4,6,8,10	24	1	54	0.018519	True
3,4,6,8,11	18	1	46	0.021739	True
3,4,6,8,12	24	1	54	0.018519	True
3,4,6,9,10	39	1	86	0.011628	True
3,4,6,9,11	18	1	46	0.021739	True
3,4,6,9,12	24	1	61	0.016393	True
3,4,6,10,11	6	1	55	0.018182	True
3,4,6,10,12	24	1	54	0.018519	True
3,4,6,11,12	5	1	47	0.021277	True
3,4,7,8,9	8	1	50	0.020000	True
3,4,7,8,10	8	1	50	0.020000	True
3,4,7,8,11	18	1	46	0.021739	True
3,4,7,8,12	24	1	54	0.018519	True
3,4,7,9,10	8	1	50	0.020000	True
3,4,7,9,11	18	1	46	0.021739	True
3,4,7,9,12	24	1	61	0.016393	True
3,4,7,10,11	6	1	55	0.018182	True
3,4,7,10,12	24	1	54	0.018519	True
3,4,7,11,12	5	1	47	0.021277	True
3,4,8,9,10	8	1	50	0.020000	True
3,4,8,9,11	18	1	46	0.021739	True
3,4,8,9,12	24	1	61	0.016393	True
3,4,8,10,11	10	1	63	0.015873	True
3,4,8,10,12	24	1	54	0.018519	True
3,4,8,11,12	24	1	61	0.016393	True
3,4,9,10,11	10	1	63	0.015873	True
3,4,9,10,12	39	1	86	0.011628	True
3,4,9,11,12	24	1	61	0.016393	True
3,4,10,11,12	6	1	55	0.018182	True
3,5,6,7,8	24	1	54	0.018519	True
3,5,6,7,9	12	1	48	0.020833	True
3,5,6,7,10	12	1	48	0.020833	True
3,5,6,7,11	5	1	47	0.021277	True
3,5,6,7,12	5	1	47	0.021277	True
3,5,6,8,9	39	1	86	0.011628	True
3,5,6,8,10	24	1	54	0.018519	True
3,5,6,8,11	3	1	106	0.009434	True
3,5,6,8,12	24	1	54	0.018519	True
3,5,6,9,10	12	1	48	0.020833	True
